SÃO LOURENÇO - BAR CHÃ;15; R$  3,02 
SÃO LOURENÇO - PAUDALHO;22; R$  4,44 
SÃO LOURENÇO - CARPINA;34; R$  6,86 
SÃO LOURENÇO - TRACUNHAÉM;37; R$  7,46 
SÃO LOURENÇO - NAZARÉ;41; R$  8,27 
SÃO LOURENÇO - ESPERANÇA;64; R$  12,91 
SÃO LOURENÇO - ALIANÇA;67; R$  13,51 
SÃO LOURENÇO - TUPAOCA;75; R$  15,12 
BAR CHÃ - PAUDALHO;7; R$  3,00 
BAR CHÃ - CARPINA;19; R$  3,83 
BAR CHÃ - TRACUNHAÉM;25; R$  5,04 
BAR CHÃ - NAZARÉ;29; R$  5,85 
BAR CHÃ - ESPERANÇA;49; R$  9,88 
BAR CHÃ - ALIANÇA;47; R$  9,48 
BAR CHÃ - TUPAOCA;65; R$  13,11 
PAUDALHO - CARPINA;12; R$  3,00 
PAUDALHO - TRACUNHAÉM;18; R$  3,63 
PAUDALHO - NAZARÉ;22; R$  4,44 
PAUDALHO - ESPERANÇA;38; R$  7,66 
PAUDALHO - ALIANÇA;40; R$  8,07 
PAUDALHO - TUPAOCA;56; R$  11,29 
CARPINA - TRACUNHAÉM;14; R$  3,00 
CARPINA - NAZARÉ;18; R$  3,63 
CARPINA - ESPERANÇA;27; R$  5,44 
CARPINA - ALIANÇA;36; R$  7,26 
CARPINA - TUPAOCA;52; R$  10,49 
TRACUNHAÉM - NAZARÉ;10; R$  3,00 
TRACUNHAÉM - ESPERANÇA;20; R$  4,03 
TRACUNHAÉM - ALIANÇA;26; R$  5,24 
TRACUNHAÉM - TUPAOCA;38; R$  7,66 
NAZARÉ - ESPERANÇA;9; R$  2,30 
NAZARÉ - ALIANÇA;18; R$  3,63 
NAZARÉ - TUPAOCA;34; R$  6,86 
ESPERANÇA - ALIANÇA;9; R$  3,00 
ESPERANÇA - TUPAOCA;20; R$  4,03 
ALIANÇA - TUPAOCA;16; R$  3,23 
CARPINA - TIMBAÚBA;54; R$  10,89 
CARPINA - TRACUNHAÉM;14; R$  3,00 
CARPINA - NAZARÉ;18; R$  3,63 
CARPINA - ESPERANÇA;27; R$  5,44 
CARPINA - ALIANÇA;36; R$  7,26 
CARPINA - CAUEIRAS;47; R$  9,48 
CARPINA - TIMBAÚBA;54; R$  10,89 
